name,description,instructor,rating,reviews,total_hours,num_of_lectures,difficulty,price,badge
Build an e-learning platform using WIX with no coding,Create a website without any line of code,Mokhtari Amine,5.0,6,3.5 total hours,22,Beginner,149000,-
Build Ecommerce Website like Amazon - No Coding Required,"Creating Multi Vendor Ecommerce Website like Amazon, Ebay and Alibaba Without using any coding language",urban libraries,5.0,2,2.5 total hours,13,All Levels,149000,-
Create Personal Brand Niche Website without coding,Using FREE Resources - Make Professional Personal Brand Website With Wordpress & Elementor,Being Commerce,5.0,3,1 total hour,10,All Levels,149000,-
Pega Senior Certification Exam Questions 2021,Pega Senior Certification Practice Test 2021for version 8.1 - 8.5,Pega Technology,5.0,2,-,-,Intermediate,149000,-
How to Create Your Free Professional Website (No Coding)!,Create a free website on a budget with no coding necessary,My Meaningful Health,5.0,11,1 total hour,5,Beginner,149000,Highest rated
App Development MADE EASY : A Glide Apps Course in Glideapps,Low code glide app development for beginners,Akanbi Adedamola,5.0,1,1.5 total hours,5,Beginner,149000,-
Wordpress for Beginners - Make 6 Different Websites Easily,How to manage and setup your website easily,Kalyanjit Hatibaruah,5.0,3,5 total hours,35,Beginner,149000,-
Build a Mobile App Without Code,Creating a Mobile App From a Spreadsheet,Clyde D'Souza,5.0,2,1.5 total hours,26,All Levels,149000,-
Advanced Templates & Document Generation,An Advanced Guide to Generating Dynamic Documents in AppSheet,"Benjamin Anderson, Stefan Quartemont",5.0,1,3 total hours,15,Intermediate,629000,-
"Beginners Guide to WordPress, Elementor & WooCommerce","Learn everything about WordPress, Elementor & WooCommerce inside this simple & easy to understand course.",Being Commerce,5.0,2,4 total hours,34,Beginner,149000,New
"High Converting Landing Page With WordPress, CRM & Marketing",All in one course - learn the entire process to generate high quality leads,Yishay Yosef,5.0,1,2 total hours,23,Beginner,149000,New
How To Work From Home Online,How to Start Your Own Work from Home Business Around What You Love and Turn it into a Full Time Income,Okikiola Emmanuel Omokanye,5.0,2,1.5 total hours,6,All Levels,149000,-
Build FREE Ecommerce Website with WordPress & WooCommerce,"Build professional Ecommerce Website For FREE using Wordpress, WooCommerce & Elementor in 2 hours",Being Commerce,5.0,1,2 total hours,32,All Levels,149000,New
Build Airtask: A To Do List Application Built With Bubble,"Using Bubble visual programming we'll be building Airtask, a beautiful & user friendly to-do list application.","Gregory John, Buildcamp Inc",5.0,100,4 total hours,24,Beginner,149000,-
ServiceNow Certified System Admin (CSA) Quebec Delta Tests,"Prepare for ServiceNow System Administrator (CSA) Delta exam with detailed answer explanations, screenshots & hyperlinks",Ali Saghaeian,5.0,213,-,-,All Levels,149000,Bestseller
Build a WordPress Blog in No Time!,Build and Host an Awesome Blog For Your Business like H-educate's Blog! In the Easiest Way You Will Ever See!,Hasan Aboul Hasan,4.9,5,2 total hours,30,Beginner,279000,-
Create an App in a Snap without a single line of coding.,Create Apps of your choice from scratch in minutes without coding,Sridhar Iyer,4.9,3,2 total hours,12,All Levels,149000,-
Create Awesome Fantasy Website Using Wordpress Elementor,"Learn Creating Awesome Fantasy Website with Animated SVG, Animated Blobs & many more premium features for FREE",Supriyo Kundu,4.9,93,7.5 total hours,41,All Levels,149000,-
How to make a Portfolio Wordpress Website in Elementor 2020,Learn how to create a designers portfolio website with Elementor from an Adobe Xd design,Rino - LivingWithPixels,4.9,190,4.5 total hours,30,Beginner,149000,Highest rated
Create Personal Branding & Blogging Website without coding,Using FREE Resources - Make Professional Personal Branding & Blogging Website Using Wordpress & Elementor,Being Commerce,4.9,3,2 total hours,23,All Levels,149000,-
Wix Web Design 2021: Level 2: Intermediate*Certified Trainer,Get inside the mind of a Wix Certified Trainer and learn the essentials of good design. Part 2 of our Master Course.,"Michael Wood, M.Ed., M.S.",4.8,132,7.5 total hours,35,Intermediate,149000,Highest rated
Building A Yelp Clone With No-Code Using Bubble,Learn the step-by-step process of building a review directory like Yelp without touching a single line of code.,Lachlan Kirkwood,4.8,8,3 total hours,11,All Levels,149000,-
Building An Instagram Clone With No-Code Using Bubble,Learn the step-by-step process of building your own version of Instagram app without touching a single line of code.,Lachlan Kirkwood,4.8,34,1.5 total hours,12,Beginner,149000,-
How To Make a Wordpress Website -Elementor Page Builder,Learn How To Create an AMAZING Wordpress Website! Master Wordpress and Elementor Page Builder!,Darrel Wilson,4.8,3433,1.5 total hours,13,Beginner,149000,-
Building A Slack Clone With No-Code Using Bubble,Learn the step-by-step process to building a Slack clone without writing a single line of code.,Lachlan Kirkwood,4.8,3,3 total hours,10,All Levels,149000,New
Build web applications without writing any code with bubble,Create web apps with visual programming using bubble,Bluelime Learning Solutions,4.8,48,3 total hours,25,Beginner,149000,-
Wordpress for beginners :Build Websites Fast without Coding,Wordpress: Learn how to create websites & stores with no coding experience but at the same time make some extra income!,Edwin Diaz,4.8,103,5 total hours,68,All Levels,149000,-
AWS Certified Solutions Architect Associate | Practice Exams,Prepare for AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests with new SAA-C02 topics!,Bangarunaidu Raghumanda,4.8,14,-,-,All Levels,149000,-
The Bubble Beginners Bootcamp (2019) - Visual Programming,The only course you need to get up and running with Bubble visual programming as quickly as possible.,"Gregory John, Buildcamp Inc",4.8,1102,10.5 total hours,48,Beginner,149000,Bestseller
Wix for Absolute Beginners,Quickly and Easily Build Your Website from Start to Finish With Free Wix Website Builder,Filip Delac,4.7,27,2.5 total hours,35,Beginner,149000,-
Editor X Masterclass - Build Amazing Websites | No Coding,"Build Responsive Websites to fit various different screens sizes, without Coding! Using an Advanced Editor X platform.",Stefan Jovanovic,4.7,16,8.5 total hours,52,All Levels,149000,New
Web Design became child's play Thanks to Weebly,Learn Web Design without coding | Graphic User Interface | Drag and Drop Builder,Rikhil Nagpal,4.7,36,1 total hour,11,Beginner,149000,Highest rated
How to Make a Website Without Coding- WordPress & Web Skills,"Learn WordPress by making a blog, resume/portfolio, and business website from scratch. No coding or experience required.",Hoku Ho,4.7,169,9 total hours,123,All Levels,149000,-
Salesforce Validation Rules - Beginner to Advanced,A Complete Guide to Salesforce Validation rules in lightning interface. Learn Salesforce validation functions.,Yashad Tayal,4.7,13,3 total hours,36,All Levels,149000,-
Wix: Make a Quick and Easy Professional Website for Free,"Create a beautiful, professional Wix website in about 1 hour using Wix's powerful free tools. Step by step case study.",Kristen Palana,4.7,145,2 total hours,27,Beginner,149000,-
Learn Creating Premium Wordpress Website with Elementor 2020,Learn creating Awesome Premium Wordpress Website using Free Elementor with cool premuim features,Supriyo Kundu,4.7,156,5.5 total hours,30,All Levels,149000,-
How to Customize & Publish a Simple Website in One Day,"Using Gitlab & Netlify, clone an SEO-optimized template, customize it, and launch it instantly on your own custom domain",Michael Martin,4.6,6,1 total hour,18,Beginner,149000,-
Flowgear Technical Certification,"Learn to build Powerful Application, Data and API Integrations using the Flowgear iPaaS Platform, no Coding",Daniel Chilcott,4.6,81,3.5 total hours,16,Intermediate,149000,-
Easy Wordpress course: build your first Wordpress website!,Build beautiful professional WordPress websites in a few hours. Why choose this course? I'll explain in the description.,Uri Brilliant,4.6,91,2.5 total hours,32,All Levels,149000,-
Master Wix - Create a Wix Website in 1 hour,Wix for Beginners: Create Responsive Wix Websites. No Coding or Wix Experience Required!,Divit Mehta,4.6,357,1 total hour,16,Beginner,149000,-
Wix Website SEO | Wix SEO| Wix Search Engine Optimisation,"Rank Your Wix Website In Google, Yahoo & Bing With An Easy To Follow Wix SEO Strategy",Sam Dey,4.6,244,1 total hour,14,All Levels,149000,-
"Learn Elementor & WordPress, for Startups & Freelancers","Master WordPress and Elementor, from beginner to expert with free plugins and themes with this hands-on course",Nathan Minns,4.6,57,2.5 total hours,40,All Levels,149000,New
How to create a blog using WordPress,A beginner's step by step guide for Creating a Responsive and Video intensive blog,Ricky Wahowa,4.6,9,4 total hours,65,All Levels,149000,-
WordPress for Beginners: Master WordPress Swiftly,WordPress 2021: Build a responsive WordPress Website in less than 5 Hours and Publish it online. No Experience Required!,Tanzeel Ur Rehman,4.6,325,5.5 total hours,42,Beginner,149000,-
Bootstrap Studio 5.5.1 Design website without coding!,Design fully mobile responsive website with typing only 10% of code in Bootstrap Studio desktop application.,Karan Khandekar,4.6,222,7 total hours,62,All Levels,149000,-
How to Build a Website,"Using the Wix platform, we will walk through how to build a website from scratch.",Steven Matt,4.6,58,30 total mins,5,Beginner,149000,-
How to Create a Wordpress Website from Scratch - No Coding,"Make a website by learning to register a domain, set up web hosting, and install/use WordPress. No experience required.",Hoku Ho,4.5,83,3 total hours,38,All Levels,149000,-
Modern Artificial Intelligence with Zero Coding,"Build 5 Practical Projects & Harness the Power of AI to solve practical, real-world business problems with Zero Coding!","Dr. Ryan Ahmed, Ph.D., MBA, Ligency Team, Mitchell Bouchard",4.5,369,9.5 total hours,70,Beginner,2799000,-
How to Make an eCommerce Website with WordPress For Beginner,Learn to Use WordPress WooCommerce Plugin and Elementor Page Builder With Free Astra Theme Without Any Coding Knowledge,Asaduzzaman Asad,4.5,181,4 total hours,45,Beginner,149000,Highest rated
WordPress from Start to Finish - Become a Pro!,A comprehensive WordPress course to take you from a very basic level to an advanced level.,Abid Majeed,4.5,34,6.5 total hours,39,All Levels,149000,-
Elementor - Build Amazing WordPress Pages With Elementor,Master how to use the Elementor plugin to build amazing pages and implement great design on your WordPress website,Alexander Oni,4.5,612,6 total hours,61,All Levels,149000,-
WordPress Websites To Be Proud Of - No Coding WordPress Site,WordPress - No Techie Skills Needed - Get Website Built Fast - No Techie Skills Needed - WordPress Websites WYSWYG,Nick Walsh,4.5,76,2 total hours,41,All Levels,159000,-
The Complete Guide to Bubble Visual Programming,Learn how to build sophisticated web applications like AirBnB Yelp Twitter with no code using Bubble Visual Programming,Henry Legge,4.5,237,15.5 total hours,160,All Levels,149000,-
How to install WordPress Website From Scratch - No Coding,Setup Your Wordpress Website in Minutes. Learn to register a domain Name & Web Hosting. Easy to understand and start.,Being Commerce,5.0,5,1 total hour,15,Beginner,0,-
The Ultimate Digital Platform Blueprint Module7 and 8,Part 4: Choose your developers and development preference and build your wireframe,Jeanine Osborne,4.5,1,1 total hour,8,All Levels,149000,-
Citizen Developers of Low-Code / No-Code,WHAT YOU NEED TO KNOW BEFORE STARTING YOUR LOW-CODE / NO-CODE JOURNEY,David Soden,4.9,7,1.5 total hours,14,Beginner,0,-
Create a Portfolio Website on Blogger - NO CODING EXPERIENCE,"Make a portfolio website without coding skills, showcase your professional skills, achievements and stand out as a pro!",Azharul Rafy,4.9,138,1 total hour,18,Beginner,0,-
Create a Minimal Real Estate Website,A Complete Beginner Guide From Domain Name to Functional Website,Jinhoe Lian,4.9,8,1.5 total hours,20,Beginner,0,-
Blue Prism - Working with PDF,Understand how to automate common PDF related functionalities with Blue Prism,Bytescout Academy,4.8,8,32 total mins,7,All Levels,0,-
How to Create a WordPress Website Using Elementor,Learn How to Create an Amazing Looking WordPress Blog Using Elementor,Gvidas Maskoliunas,4.8,88,2 total hours,19,Beginner,0,-
Create a Personal Brand Website without coding | 2021,Create a beautiful professional personal brand website and stand out from the crowd. No code. Easy to implement in 1 hr.,Dheeraj Sharma,4.8,47,1 total hour,14,Beginner,0,-
Velo by Wix Part 2: User Inputs and Data Basics,Learn your way around Wix user input fields and the basics of databases,Will Fourie,4.7,83,2 total hours,13,Beginner,0,-
WIX Tutorial For Beginners - Make A Wix Website Today!,Discover how to make a Wix website today. Creating a WIX website is easy! Great for beginners.,Greg Gottfried,4.7,596,1 total hour,7,Beginner,0,-
Beginner's Guide: Use Bubble to Build an App Without Coding,"If you're looking to build a profitable app without having to code, this course will prepare you to build and scale.",Gaby Roman,4.7,256,4.5 total hours,13,Beginner,0,-
Wordpress and Beaver Builder Quick Website Design Series,Let's build a website together from scratch - we'll touch on a lot of the basics of Wordpress and Beaver Builder.,Dave Spicer,4.7,127,1 total hour,9,Beginner,0,-
Build a Task Tracker App with AppSheet,A full AppSheet build tutorial designed for beginners,"Benjamin Anderson, Stefan Quartemont, Justin Lyons",4.7,98,1.5 total hours,23,Beginner,0,-
Wordpress and Elementor Tutorials Masterclass,"Web designing with Wordpress and Elementor for Fasttrack, super-easy, stunning and functional websites",Chetan K,4.6,235,2 total hours,11,Beginner,0,-
Wix Website Design - Go from Beginner to Pro in 1 Hour!,"Build Beautiful Wix Websites For Yourself, Your Business or Someone Else - Without Learning to Code!","Daragh Walsh, Website So Simple",4.6,92,1 total hour,18,Beginner,0,-
Learn How To Build a Web Application Without Coding,This course will teach you how to create a database driven web app without writing a single line of code.,Ned Pajic,4.6,1291,32 total mins,10,Beginner,0,-
How to Start a Blog - 2021 - (Self-Hosted WordPress Blog),A Beginners Guide to Starting a Blog in 40 Minutes or LESS!,Martie Dread,4.6,14,34 total mins,9,Beginner,0,-
Free Website Builder / Application Builder,"Create Website , Mobile App , Shopping cart and Web development without coding","Manish Gupta, Mamdouh Kaldas, Kartheek Raj",4.6,367,2 total hours,16,All Levels,0,-
Build apps without coding - Introductory course,"Learn how to build apps and program their logic visually - no code approach, completely codeless",Mark Piller,4.6,110,2 total hours,15,Beginner,0,-
Velo by Wix Part 1: Editor and Velo Basics,Learn your way around the Wix editor and the basics of Velo coding,Will Fourie,4.5,189,2 total hours,6,Beginner,0,-
